city,dates,host_team,match_id,player_of_match,result,season,toss_decision,toss_winner,venue,visiting_team,winner
Kimberley,2009-05-09,Deccan Chargers,93.0,DPMD Jayawardene,1,2009,field,Kings XI Punjab,De Beers Diamond Oval,Kings XI Punjab,Kings XI Punjab
Johannesburg,2009-05-10,Delhi Daredevils,94.0,A Mishra,1,2009,field,Delhi Daredevils,New Wanderers Stadium,Kolkata Knight Riders,Delhi Daredevils
Port Elizabeth,2009-05-10,Royal Challengers Bangalore,95.0,JP Duminy,1,2009,bat,Mumbai Indians,St George's Park,Mumbai Indians,Mumbai Indians
Kimberley,2009-05-11,Deccan Chargers,96.0,DR Smith,1,2009,bat,Deccan Chargers,De Beers Diamond Oval,Rajasthan Royals,Deccan Chargers
Centurion,2009-05-12,Kings XI Punjab,97.0,Harbhajan Singh,1,2009,bat,Kings XI Punjab,SuperSport Park,Mumbai Indians,Mumbai Indians
Centurion,2009-05-12,Royal Challengers Bangalore,98.0,LRPL Taylor,1,2009,field,Royal Challengers Bangalore,SuperSport Park,Kolkata Knight Riders,Royal Challengers Bangalore
Durban,2009-05-13,Deccan Chargers,99.0,R Bhatia,1,2009,field,Deccan Chargers,Kingsmead,Delhi Daredevils,Delhi Daredevils
Durban,2009-05-14,Mumbai Indians,100.0,SK Warne,1,2009,bat,Rajasthan Royals,Kingsmead,Rajasthan Royals,Rajasthan Royals
Durban,2009-05-14,Royal Challengers Bangalore,101.0,LRPL Taylor,1,2009,bat,Chennai Super Kings,Kingsmead,Chennai Super Kings,Royal Challengers Bangalore
Bloemfontein,2009-05-15,Delhi Daredevils,102.0,B Lee,1,2009,field,Kings XI Punjab,OUTsurance Oval,Kings XI Punjab,Kings XI Punjab
Port Elizabeth,2009-05-16,Chennai Super Kings,103.0,ML Hayden,1,2009,bat,Mumbai Indians,St George's Park,Mumbai Indians,Chennai Super Kings
Johannesburg,2009-05-16,Deccan Chargers,104.0,RG Sharma,1,2009,field,Deccan Chargers,New Wanderers Stadium,Kolkata Knight Riders,Deccan Chargers
Bloemfontein,2009-05-17,Delhi Daredevils,105.0,AB de Villiers,1,2009,bat,Delhi Daredevils,OUTsurance Oval,Rajasthan Royals,Delhi Daredevils
Johannesburg,2009-05-17,Deccan Chargers,106.0,Yuvraj Singh,1,2009,field,Deccan Chargers,New Wanderers Stadium,Kings XI Punjab,Kings XI Punjab
Centurion,2009-05-18,Chennai Super Kings,107.0,BJ Hodge,1,2009,bat,Chennai Super Kings,SuperSport Park,Kolkata Knight Riders,Kolkata Knight Riders
Johannesburg,2009-05-19,Royal Challengers Bangalore,108.0,JH Kallis,1,2009,bat,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,Royal Challengers Bangalore
Durban,2009-05-20,Kolkata Knight Riders,109.0,LR Shukla,1,2009,field,Kolkata Knight Riders,Kingsmead,Rajasthan Royals,Kolkata Knight Riders
Durban,2009-05-20,Chennai Super Kings,110.0,M Muralitharan,1,2009,bat,Chennai Super Kings,Kingsmead,Kings XI Punjab,Chennai Super Kings
Centurion,2009-05-21,Royal Challengers Bangalore,111.0,MK Pandey,1,2009,bat,Royal Challengers Bangalore,SuperSport Park,Deccan Chargers,Royal Challengers Bangalore
Centurion,2009-05-21,Delhi Daredevils,112.0,V Sehwag,1,2009,field,Delhi Daredevils,SuperSport Park,Mumbai Indians,Delhi Daredevils
Centurion,2009-05-22,Delhi Daredevils,113.0,AC Gilchrist,1,2009,field,Deccan Chargers,SuperSport Park,Deccan Chargers,Deccan Chargers
Johannesburg,2009-05-23,Royal Challengers Bangalore,114.0,MK Pandey,1,2009,field,Royal Challengers Bangalore,New Wanderers Stadium,Chennai Super Kings,Royal Challengers Bangalore
Johannesburg,2009-05-24,Royal Challengers Bangalore,115.0,A Kumble,1,2009,field,Royal Challengers Bangalore,New Wanderers Stadium,Deccan Chargers,Deccan Chargers
Mumbai,2010-03-12,Deccan Chargers,116.0,AD Mathews,1,2010,field,Deccan Chargers,Dr DY Patil Sports Academy,Kolkata Knight Riders,Kolkata Knight Riders
Chandigarh,2010-03-13,Kings XI Punjab,117.0,G Gambhir,1,2010,field,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Delhi Daredevils
Mumbai,2010-03-13,Mumbai Indians,118.0,YK Pathan,1,2010,bat,Mumbai Indians,Brabourne Stadium,Rajasthan Royals,Mumbai Indians
Chennai,2010-03-14,Chennai Super Kings,119.0,WPUJC Vaas,1,2010,bat,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Deccan Chargers
Kolkata,2010-03-14,Kolkata Knight Riders,120.0,MK Tiwary,1,2010,field,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders
Ahmedabad,2010-03-15,Rajasthan Royals,121.0,V Sehwag,1,2010,field,Delhi Daredevils,"Sardar Patel Stadium, Motera",Delhi Daredevils,Delhi Daredevils
Bangalore,2010-03-16,Royal Challengers Bangalore,122.0,JH Kallis,1,2010,bat,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore
Kolkata,2010-03-16,Kolkata Knight Riders,123.0,MS Dhoni,1,2010,bat,Chennai Super Kings,Eden Gardens,Chennai Super Kings,Chennai Super Kings
Delhi,2010-03-17,Delhi Daredevils,124.0,SR Tendulkar,1,2010,field,Delhi Daredevils,Feroz Shah Kotla,Mumbai Indians,Mumbai Indians
Bangalore,2010-03-18,Royal Challengers Bangalore,125.0,JH Kallis,1,2010,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore
Delhi,2010-03-19,Delhi Daredevils,126.0,ML Hayden,1,2010,bat,Delhi Daredevils,Feroz Shah Kotla,Chennai Super Kings,Chennai Super Kings
Cuttack,2010-03-19,Deccan Chargers,127.0,A Symonds,1,2010,field,Kings XI Punjab,Barabati Stadium,Kings XI Punjab,Deccan Chargers
Ahmedabad,2010-03-20,Rajasthan Royals,128.0,AA Jhunjhunwala,1,2010,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",Kolkata Knight Riders,Rajasthan Royals
Mumbai,2010-03-20,Mumbai Indians,129.0,JH Kallis,1,2010,bat,Mumbai Indians,Brabourne Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Cuttack,2010-03-21,Deccan Chargers,130.0,A Symonds,1,2010,bat,Deccan Chargers,Barabati Stadium,Delhi Daredevils,Deccan Chargers
Chennai,2010-03-21,Chennai Super Kings,131.0,J Theron,2,2010,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Kings XI Punjab
Mumbai,2010-03-22,Mumbai Indians,132.0,SR Tendulkar,1,2010,bat,Kolkata Knight Riders,Brabourne Stadium,Kolkata Knight Riders,Mumbai Indians
Bangalore,2010-03-23,Royal Challengers Bangalore,133.0,RV Uthappa,1,2010,field,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore
