match_id,date,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,dl_applied,winner,player_of_match
581,2017-04-08 00:00:00,Bengaluru,2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,M.Chinnaswamy Stadium,1,0,Royal Challengers Bangalore,KM Jadhav
582,2017-04-08,Indore,2017,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium,1,0,Kings XI Punjab,GJ Maxwell
583,2017-04-09,Hyderabad,2017,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,Rashid Khan
584,2017-04-09,Mumbai,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1,0,Mumbai Indians,N Rana
585,2017-04-10,Indore,2017,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Holkar Cricket Stadium,1,0,Kings XI Punjab,AR Patel
586,2017-04-11,Pune,2017,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,1,0,Delhi Daredevils,SV Samson
587,2017-04-12,Mumbai,2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Wankhede Stadium,1,0,Mumbai Indians,JJ Bumrah
588,2017-04-13,Kolkata,2017,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Eden Gardens,1,0,Kolkata Knight Riders,SP Narine
589,2017-04-14,Bangalore,2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,1,0,Mumbai Indians,KA Pollard
590,2017-04-14,Rajkot,2017,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium,1,0,Gujarat Lions,AJ Tye
591,2017-04-15,Kolkata,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,1,0,Kolkata Knight Riders,RV Uthappa
592,2017-04-15,Delhi,2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,1,0,Delhi Daredevils,CJ Anderson
593,2017-04-16,Mumbai,2017,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Wankhede Stadium,1,0,Mumbai Indians,N Rana
594,2017-04-16,Bangalore,2017,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,0,Rising Pune Supergiant,BA Stokes
595,2017-04-17,Delhi,2017,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,1,0,Kolkata Knight Riders,NM Coulter-Nile
596,2017-04-17,Hyderabad,2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,B Kumar
597,2017-04-18,Rajkot,2017,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Saurashtra Cricket Association Stadium,1,0,Royal Challengers Bangalore,CH Gayle
598,2017-04-19,Hyderabad,2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,KS Williamson
599,2017-04-20,Indore,2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium,1,0,Mumbai Indians,JC Buttler
600,2017-04-21,Kolkata,2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Eden Gardens,1,0,Gujarat Lions,SK Raina
601,2017-04-22,Mumbai,2017,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,1,0,Mumbai Indians,MJ McClenaghan
602,2017-04-22,Pune,2017,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,1,0,Rising Pune Supergiant,MS Dhoni
603,2017-04-23,Rajkot,2017,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Saurashtra Cricket Association Stadium,1,0,Kings XI Punjab,HM Amla
604,2017-04-23,Kolkata,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,1,0,Kolkata Knight Riders,NM Coulter-Nile
