player_code,player_id,full_name,country,role,batting_style,bowling_style,born
SPD Smith,267192,,Australia,Middle-order batsman,Right-hand bat,Legbreak googly,"
June 2, 1989, Sydney, New South Wales "
JE Taylor,53191,,West Indies,Bowler,Right-hand bat,Right-arm fast,"
June 22, 1984, St Elizabeth, Jamaica "
AC Thomas,47569,,South Africa,Bowler,Right-hand bat,Right-arm fast-medium,"
February 9, 1977, Cape Town, Cape Province "
K Upadhyay,431876,,India,,Right-hand bat,Right-arm medium,"
June 18, 1986, Agar, Uttar Pradesh "
SB Wagh,279552,,India,Allrounder,Left-hand bat,Left-arm medium-fast,"
October 9, 1988, Chikhli "
LJ Wright,23460,,England,Top-order batsman,Right-hand bat,Right-arm medium-fast,"
March 7, 1985, Grantham, Lincolnshire "
JC Archer,669855,,England,Bowler,Right-hand bat,Right-arm fast,"
April 1, 1995, Bridgetown, Barbados "
SA Asnodkar,26782,,India,Batsman,Right-hand bat,Right-arm offbreak,"
March 29, 1984, Porvorim, Goa, India "
LA Carseldine,4541,,Australia,Allrounder,Left-hand bat,Left-arm medium,"
November 17, 1975, Nambour, Queensland "
A Chandila,27783,,India,Allrounder,Right-hand bat,Right-arm offbreak,"
December 5, 1983, Faridabad, Haryana "
AA Chavan,337913,,India,Batsman,Left-hand bat,Slow left-arm orthodox,"
October 28, 1985, Bombay (now Mumbai), Maharashtra "
P Chopra,500135,,India,Opening batsman,Right-hand bat,Legbreak googly,"
October 7, 1992, Solan, Himachal Pradesh "
KK Cooper,371814,,West Indies,Allrounder,Right-hand bat,Right-arm medium,"
February 16, 1989, Trinidad "
AP Dole,236694,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
October 9, 1987, Pimpri, Maharashtra "
ND Doshi,12440,,England,Bowler,Right-hand bat,Slow left-arm orthodox,"
October 6, 1978, Nottingham "
R Dravid,28114,,India,Top-order batsman,Right-hand bat,Right-arm offbreak,"
January 11, 1973, Indore, Madhya Pradesh "
FY Fazal,28671,,India,Opening batsman,Left-hand bat,Right-arm medium,"
September 7, 1985, Nagpur, Maharashtra "
Harmeet Singh,422847,,India,,Left-hand bat,Slow left-arm orthodox,"
September 7, 1992, Mumbai "
SM Harwood,5605,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
March 1, 1974, Ballarat, Victoria "
T Henderson,45434,,South Africa,Bowler,Right-hand bat,Right-arm fast-medium,"
August 1, 1974, Durban, Natal "
DJ Hooda,497121,,India,Allrounder,Right-hand bat,Right-arm offbreak,"
April 19, 1995, Rohtak "
YBK Jaiswal,1151278,,India,Opening batsman,Left-hand bat,Legbreak,"
December 28, 2001, Suriya, Uttar Pradesh "
Kamran Akmal,41028,,Pakistan,Wicketkeeper batsman,Right-hand bat,,"
January 13, 1982, Lahore, Punjab "
H Klaasen,436757,,South Africa,Wicketkeeper batsman,Right-hand bat,,"
July 30, 1991, Pretoria, Transvaal "
DS Lehmann,6285,,Australia,Top-order batsman,Left-hand bat,Slow left-arm orthodox,"
February 5, 1970, Gawler, South Australia "
LS Livingstone,403902,,England,Batsman,Right-hand bat,"Right-arm offbreak, Legbreak","
August 4, 1993, Barrow-in-Furness, Cumberland "
MK Lomror,853265,,India,Allrounder,Left-hand bat,Slow left-arm orthodox,"
November 16, 1999, Nagaur, Rajasthan "
DR Martyn,6513,,Australia,Top-order batsman,Right-hand bat,Right-arm medium,"
October 21, 1971, Darwin, Northern Territory "
AL Menaria,371150,,India,Allrounder,Left-hand bat,Slow left-arm orthodox,"
October 29, 1990, Udaipur, Rajasthan "
S Midhun,1131619,,India,Bowler,Right-hand bat,Legbreak googly,"
October 7, 1994, Kayamkulam (Allapuzha District) "
Pankaj Singh,32973,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
May 6, 1985, Sultanpur, Uttar Pradesh "
R Parag,1079434,,India,Top-order batsman,Right-hand bat,Legbreak,"
November 10, 2001, Guwahati, Assam "
NK Patel,32240,,India,,Left-hand bat,,"
March 26, 1981, Ahmedabad, Gujarat "
AG Paunikar,324444,,India,Wicketkeeper batsman,Right-hand bat,,"
April 18, 1988, Nagpur, Maharashtra, India "
MDKJ Perera,300631,,Sri Lanka,Wicketkeeper batsman,Left-hand bat,,"
August 17, 1990, Kalubowila "
RJ Quiney,211854,,Australia,Batsman,Left-hand bat,Right-arm medium,"
August 20, 1982, Brighton, Victoria "
AS Raut,230593,,India,Allrounder,Right-hand bat,Legbreak googly,"
March 3, 1987, Jaipur Road, Maharashtra "
Sachin Baby,432783,,India,Batsman,Left-hand bat,Right-arm offbreak,"
December 18, 1988, Thodupuzha, Kerala "
D Salunkhe,278482,,India,Bowler,Right-hand bat,Legbreak,"
November 12, 1982, Mumbai "
DJM Short,308798,,Australia,Opening batsman,Left-hand bat,Slow left-arm chinaman,"
August 9, 1990, Katherine, Northern Territory "
A Singh,26789,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
June 21, 1981, Bidar, Karnataka "
IS Sodhi,559066,,New Zealand,Bowler,Right-hand bat,Legbreak,"
October 31, 1992, Ludhiana, India "
Sohail Tanvir,43265,,Pakistan,Bowler,Left-hand bat,Left-arm medium-fast,"
December 12, 1984, Rawalpindi, Punjab "
BA Stokes,311158,,England,Allrounder,Left-hand bat,Right-arm fast-medium,"
June 4, 1991, Christchurch, Canterbury, New Zealand "
SW Tait,8076,,Australia,Bowler,Right-hand bat,Right-arm fast,"
February 22, 1983, Bedford Park, Adelaide, South Australia "
O Thomas,914567,,West Indies,Bowler,Left-hand bat,Right-arm fast,"
February 18, 1997 "
SK Trivedi,35353,,India,Bowler,Right-hand bat,Right-arm medium,"
September 4, 1982, Ahmedabad, Gujarat "
AJ Turner,500268,,Australia,Middle-order batsman,Right-hand bat,Right-arm offbreak,"
January 25, 1993, Perth "
A Uniyal,35586,,India,,Left-hand bat,Left-arm medium,"
November 21, 1981, Chandigarh "
AC Voges,8119,,Australia,Top-order batsman,Right-hand bat,Slow left-arm orthodox,"
October 4, 1979, Subiaco, Perth, Western Australia "
SK Warne,8166,,Australia,Bowler,Right-hand bat,Legbreak googly,"
September 13, 1969, Ferntree Gully, Victoria "
DH Yagnik,36071,,India,Wicketkeeper,Left-hand bat,,"
June 22, 1983, Banswara, Rajasthan "
Younis Khan,43652,,Pakistan,Middle-order batsman,Right-hand bat,"Right-arm medium, Legbreak","
November 29, 1977, Mardan, North-West Frontier Province (now Khyber Pakhtunkhwa) "
SM Boland,446548,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
April 11, 1989, Melbourne, Australia "
PSP Handscomb,334337,,Australia,Batsman,Right-hand bat,,"
April 26, 1991, Melbourne, Victoria "
UT Khawaja,215155,,Australia,Top-order batsman,Left-hand bat,Right-arm medium,"
December 18, 1986, Islamabad, Pakistan "
Washington Sundar,719715,,India,Bowling allrounder,Left-hand bat,Right-arm offbreak,"
October 5, 1999, Chennai, Tamil Nadu "
A Zampa,379504,,Australia,Bowler,Right-hand bat,Legbreak googly,"
March 31, 1992, Shellharbour, New South Wales "
SA Abbott,398666,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
February 29, 1992, Windsor, New South Wales "
Abdur Razzak,56283,,Bangladesh,Bowler,Left-hand bat,Slow left-arm orthodox,"
June 15, 1982, Khulna "
MM Ali,8917,,England,Batting allrounder,Left-hand bat,Right-arm offbreak,"
June 18, 1987, Birmingham "
KP Appanna,269170,,India,,Right-hand bat,Slow left-arm orthodox,"
December 20, 1988, Kodagu, Karnataka "
S Aravind,290632,,India,Bowler,Left-hand bat,Left-arm medium-fast,"
April 8, 1984, Bangalore, Karnataka "
J Arunkumar,26291,,India,,Right-hand bat,Right-arm offbreak,"
January 18, 1975, Bangalore, Karnataka "
RR Bhatkal,27150,,India,Allrounder,Right-hand bat,Right-arm medium,"
September 1, 1985, Belgaum, Karnataka "
R Bishnoi,236766,,India,,Right-hand bat,Right-arm medium-fast,"
October 8, 1987, Bikaner "
S Chanderpaul,51469,,West Indies,Batsman,Left-hand bat,Legbreak,"
August 16, 1974, Unity Village, East Coast, Demerara, Guyana "
A Choudhary,527299,,India,Bowler,Right-hand bat,Left-arm medium,"
January 28, 1990, Bikaner, Rajasthan "
S Dube,714451,,India,Allrounder,Left-hand bat,Right-arm medium,"
June 26, 1993, Mumbai "
D du Preez,44938,,South Africa,,Right-hand bat,Right-arm fast-medium,"
November 8, 1981, Port Elizabeth, Cape Province "
TM Head,530011,,Australia,Middle-order batsman,Left-hand bat,Right-arm offbreak,"
December 29, 1993, Adelaide, South Australia "
W Jaffer,29646,,India,Top-order batsman,Right-hand bat,Right-arm offbreak,"
February 16, 1978, Bombay (now Mumbai), Maharashtra "
SB Joshi,29725,,India,Allrounder,Left-hand bat,Slow left-arm orthodox,"
June 6, 1970, Gadag, Karnataka "
AA Kazi,422106,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
September 29, 1989, Bangalore, Karnataka "
K Khejroliya,1083033,,India,Bowler,Left-hand bat,Left-arm medium-fast,"
March 13, 1992, Churi Ajitgarh Jhunjhunu District, Rajasthan "
V Kohli,253802,,India,Top-order batsman,Right-hand bat,Right-arm medium,"
November 5, 1988, Delhi "
A Kumble,30176,,India,Bowler,Right-hand bat,Legbreak googly,"
October 17, 1970, Bangalore, Karnataka "
NJ Maddinson,333780,,Australia,Opening batsman,Left-hand bat,Slow left-arm orthodox,"
December 21, 1991, Nowra, New South Wales "
TS Mills,459257,,England,Bowler,Right-hand bat,Left-arm fast,"
August 12, 1992, Dewsbury, Yorkshire "
AF Milne,450860,,New Zealand,Bowler,Right-hand bat,Right-arm fast,"
April 13, 1992, Palmerston North "
Misbah-ul-Haq,41378,,Pakistan,Middle-order batsman,Right-hand bat,Legbreak,"
May 28, 1974, Mianwali, Punjab "
A Mithun,310958,,India,Bowler,Right-hand bat,Right-arm medium,"
October 25, 1989, Bangalore "
Mohammed Siraj,940973,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
March 13, 1994, Hyderabad "
R Ninan,353669,,India,Allrounder,Right-hand bat,Right-arm offbreak,"
November 19, 1985, Thiruvananthapuram "
AA Noffke,6938,,Australia,Allrounder,Right-hand bat,Right-arm fast-medium,"
April 30, 1977, Nambour, Queensland "
D Padikkal,1119026,,India,Top-order batsman,Left-hand bat,Right-arm offbreak,"
July 7, 2000, Edapal, Kerala "
AUK Pathan,430401,,India,Bowler,Right-hand bat,Right-arm medium,"
June 17, 1984, Ankleshwar, Gujarat "
DT Patil,32389,,India,,Right-hand bat,,"
December 6, 1984 "
JR Philippe,1124282,,Australia,Wicketkeeper batsman,Right-hand bat,,"
June 1, 1997 "
R Rampaul,52912,,West Indies,Bowler,Left-hand bat,Right-arm fast-medium,"
October 15, 1984, Preysal, Trinidad "
P Ray Barman,1159712,,India,Bowler,Right-hand bat,Legbreak googly,"
October 25, 2002 "
RR Rossouw,318845,,South Africa,Top-order batsman,Left-hand bat,Right-arm offbreak,"
October 9, 1989, Bloemfontein, Orange Free State "
NA Saini,700167,,India,Bowler,Right-hand bat,Right-arm fast,"
November 23, 1992, Karnal, Haryana "
DJG Sammy,53115,,West Indies,Allrounder,Right-hand bat,Right-arm medium,"
December 20, 1983, Micoud, St Lucia "
T Shamsi,379145,,South Africa,Bowler,Right-hand bat,Slow left-arm chinaman,"
February 18, 1990, Johannesburg, Gauteng "
B Stanlake,533042,,Australia,Bowler,Left-hand bat,Right-arm fast,"
November 4, 1994, Hervey Bay, Australia "
MA Starc,311592,,Australia,Bowler,Left-hand bat,Left-arm fast,"
January 30, 1990, Baulkham Hills, Sydney, New South Wales "
J Syed Mohammad,35261,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
June 3, 1983, Madras (now Chennai), Tamil Nadu "
I Udana,328026,,Sri Lanka,Allrounder,Right-hand bat,Left-arm medium-fast,"
February 17, 1988, Balangoda "
JJ van der Wath,47693,,South Africa,Allrounder,Right-hand bat,Right-arm medium-fast,"
January 10, 1978, Newcastle, Natal "
Vishnu Vinod,732293,,India,,Right-hand bat,,"
December 2, 1993,  Pathanamthitta, Kerala "
D Wiese,221140,,South Africa,Allrounder,Right-hand bat,Right-arm medium-fast,"
May 18, 1985, Roodepoort "
VH Zol,554699,,India,,Left-hand bat,Right-arm offbreak,"
November 23, 1994, Jalna, Maharashtra "
Abdul Samad,1175485,,India,Batsman,Right-hand bat,Legbreak,"
October 28, 2001, Kala Kot, Jammu & Kashmir "
KK Ahmed,942645,,India,Bowler,Right-hand bat,Left-arm medium,"
December 5, 1997, Tonk, Rajasthan "
JM Bairstow,297433,,England,Wicketkeeper batsman,Right-hand bat,Right-arm medium,"
September 26, 1989, Bradford, Yorkshire "
RK Bhui,642531,,India,Top-order batsman,Right-hand bat,Legbreak googly,"
September 29, 1996, Bhopal, Madhya Pradesh "
PK Garg,1070180,,India,Top-order batsman,Right-hand bat,Right-arm medium,"
November 30, 2000, Meerut, Uttar Pradesh "
AD Hales,249866,,England,Opening batsman,Right-hand bat,Right-arm medium,"
January 3, 1989, Hillingdon, Middlesex "
Mohammad Nabi,25913,,Afghanistan,Allrounder,Right-hand bat,Right-arm offbreak,"
January 1, 1985, Loger, Afghanistan "
Rashid Khan,793463,,Afghanistan,Bowler,Right-hand bat,Legbreak googly,"
September 20, 1998, Nangarhar "
X Thalaivan Sargunam,319744,,India,,Right-hand bat,Right-arm offbreak,"
May 15, 1985, Nagar Kowil, Tamil Nadu "
KS Williamson,277906,,New Zealand,Top-order batsman,Right-hand bat,Right-arm offbreak,"
August 8, 1990, Tauranga "
