player_code,player_id,full_name,country,role,batting_style,bowling_style,born
DT Christian,4864,,Australia,Allrounder,Right-hand bat,Right-arm fast-medium,"
May 4, 1983, Camperdown, Sydney, New South Wales "
H Das,236810,,India,,Right-hand bat,,"
December 10, 1986, Dhankanal, Orissa "
KH Devdhar,340063,,India,Wicketkeeper,Right-hand bat,,"
December 14, 1989, Baroda (now Vadodara), Gujarat "
S Dhawan,28235,,India,Opening batsman,Left-hand bat,Right-arm offbreak,"
December 5, 1985, Delhi "
JP Duminy,44932,,South Africa,Batting allrounder,Left-hand bat,Right-arm offbreak,"
April 14, 1984, Strandfontein, Cape Town, Cape Province "
FH Edwards,51782,,West Indies,Bowler,Right-hand bat,Right-arm fast,"
February 6, 1982, Gays, St Peter, Barbados "
HH Gibbs,45224,,South Africa,,Right-hand bat,Right-arm bowler,"
February 23, 1974, Green Point, Cape Town, Cape Province "
AC Gilchrist,5390,,Australia,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak,"
November 14, 1971, Bellingen, New South Wales "
Harmeet Singh,391128,,India,Bowler,Right-hand bat,Right-arm medium,"
October 9, 1987, Jodhpur, Rajasthan "
DJ Harris,5583,,Australia,,Right-hand bat,Right-arm medium,"
December 31, 1979, North Adelaide, South Australia "
RJ Harris,5779,,Australia,Bowler,Right-hand bat,Right-arm fast,"
October 11, 1979, Sydney, New South Wales "
IR Jaggi,279554,,India,Batsman,Right-hand bat,Legbreak googly,"
January 27, 1989, Bacheli "
Jaskaran Singh,376102,,India,Bowler,Right-hand bat,Right-arm medium,"
September 4, 1989, Mohali, Punjab "
AA Jhunjhunwala,29702,,India,Batsman,Right-hand bat,Right-arm offbreak,"
December 1, 1982, Calcutta (now Kolkata), Bengal "
D Kalyankrishna,30719,,India,,Right-hand bat,Right-arm medium-fast,"
December 16, 1983, Vijayawada "
VVS Laxman,30750,,India,Top-order batsman,Right-hand bat,Right-arm offbreak,"
November 1, 1974, Hyderabad, Andhra Pradesh "
MJ Lumb,16406,,England,Top-order batsman,Left-hand bat,Right-arm medium,"
February 12, 1980, Johannesburg, Transvaal, South Africa "
CA Lynn,326637,,Australia,Batsman,Right-hand bat,Slow left-arm orthodox,"
April 10, 1990, Brisbane, Queensland "
I Malhotra,31088,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
May 23, 1984, Srinagar "
MR Marsh,272450,,Australia,Allrounder,Right-hand bat,Right-arm medium,"
October 20, 1991, Attadale, Perth "
A Mishra,31107,,India,Bowler,Right-hand bat,Legbreak,"
November 24, 1982, Delhi "
MD Mishra,31028,,India,Batsman,Right-hand bat,Right-arm offbreak,"
February 9, 1984, Bhopal, Madhya Pradesh "
T Mishra,24790,,India,Middle-order batsman,Right-hand bat,Right-arm fast-medium,"
December 22, 1986, Mumbai, India "
PP Ojha,32130,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
September 5, 1986, Bhubaneswar, Orissa "
V Pratap Singh,528967,,India,,Right-hand bat,Right-arm medium,"
May 3, 1992, Nalanda, Bihar "
DB Ravi Teja,237701,,India,Batsman,Right-hand bat,Legbreak googly,"
September 5, 1987, Kakinada, Andhra Pradesh "
PA Reddy,376109,,India,,Right-hand bat,Legbreak,"
February 11, 1991, Hyderabad "
KAJ Roach,230553,,West Indies,Bowler,Right-hand bat,Right-arm fast-medium,"
June 30, 1988, St. Lucy, Barbados "
BB Samantray,430125,,India,,Right-hand bat,Right-arm medium,"
December 14, 1988, Cuttack, Orissa "
